Image,AQI_FINAL_CONSENSO,AQI_CSIQ,Noise_CSIQ,Conf_CSIQ(%),AQI_LIVE,Noise_LIVE,Conf_LIVE(%),AQI_TID2013,Noise_TID2013,Conf_TID2013(%)
sample_01_CSIQ_1600.blur.2.png,70.7,86.7,gblur,90.0,74.21,jp2k,31.7,67.2,jp2k,27.0
sample_01_LIVE_img54.bmp,33.09,55.77,gblur,99.0,32.3,gblur,82.0,33.87,gblur,38.0
sample_02_CSIQ_monument.AWGN.3.png,61.0,80.17,wn,100.0,65.98,wn,100.0,56.03,type_21,25.0
sample_02_CSIQ_woman.blur.3.png,38.96,58.43,gblur,100.0,38.22,gblur,98.0,39.69,gblur,51.0
sample_03_TID_i21_23_2.bmp,90.37,91.01,gblur,66.0,89.74,jpeg,26.17,79.17,type_23,78.0
sample_03_TID_i23_16_5.bmp,98.14,100.0,jpeg,52.0,96.28,wn,52.81,76.63,type_16,77.0
sample_04_LIVE_img119.bmp,94.31,94.86,wn,58.0,93.75,jp2k,27.97,60.92,type_13,20.0
sample_04_TID_i07_13_2.bmp,91.17,91.09,gblur,68.0,91.24,wn,33.85,59.26,type_13,65.0
sample_05_TID_i12_17_2.bmp,91.66,91.15,gblur,73.0,92.18,wn,32.45,84.31,type_17,63.0
sample_05_TID_i22_11_3.bmp,59.03,95.96,jpeg,56.0,51.11,jp2k,46.0,66.95,jp2k,91.0
sample_06_TID_i14_24_4.bmp,58.6,92.3,gblur,80.0,68.49,gblur,91.0,48.7,type_24,87.0
sample_06_TID_i24_14_2.bmp,94.47,97.39,jpeg,74.0,91.56,fastfading,32.3,73.47,type_14,70.0
sample_07_LIVE_img55.bmp,52.32,82.99,jpeg,87.0,42.8,jp2k,94.3,61.83,jp2k,72.0
sample_07_TID_i10_03_4.bmp,54.57,91.33,wn,98.0,66.22,wn,100.0,42.92,type_03,100.0
sample_08_CSIQ_aerial_city.blur.4.png,39.8,57.62,gblur,100.0,39.21,gblur,86.0,40.4,gblur,57.0
sample_08_TID_i10_06_3.bmp,100.0,100.0,jpeg,62.0,100.0,jp2k,29.23,60.16,type_06,86.0
sample_09_LIVE_img36.bmp,52.7,47.22,jpeg,98.0,29.2,jpeg,100.0,58.18,jpeg,55.0
sample_09_TID_i21_06_4.bmp,93.21,99.58,gblur,55.0,86.85,fastfading,35.97,51.21,type_06,82.0
sample_100_TID_i24_04_1.bmp,96.43,96.81,wn,62.0,96.06,jpeg,42.31,78.33,type_04,78.0
sample_10_TID_i03_14_4.bmp,90.52,92.96,jpeg,53.0,88.09,wn,37.0,66.19,type_14,89.0
sample_10_TID_i18_01_4.bmp,61.64,63.25,wn,100.0,55.41,wn,100.0,60.02,wn,75.0
sample_11_LIVE_img135.bmp,52.46,78.62,gblur,95.0,54.54,gblur,83.0,50.37,gblur,54.0
sample_11_TID_i22_01_5.bmp,49.89,56.24,wn,100.0,49.58,wn,100.0,50.19,wn,98.0
sample_12_TID_i02_02_1.bmp,80.57,99.97,jpeg,49.0,82.96,wn,85.18,78.18,type_02,68.0
sample_12_TID_i03_08_4.bmp,39.81,79.99,gblur,95.0,37.28,fastfading,63.0,42.33,gblur,85.0
sample_13_LIVE_img137.bmp,88.93,95.94,gblur,45.0,81.92,gblur,79.21,52.12,type_13,31.0
sample_13_TID_i16_07_3.bmp,20.1,29.72,jpeg,98.0,10.47,jpeg,97.0,54.42,type_07,98.0
sample_14_TID_I06_01_1.bmp,78.94,93.31,wn,77.0,82.7,wn,78.55,75.17,wn,67.0
sample_14_TID_i24_07_2.bmp,56.03,49.4,jpeg,95.0,14.76,jpeg,97.0,62.66,type_07,95.0
sample_15_TID_i09_07_3.bmp,19.48,22.83,jpeg,96.0,16.12,jpeg,97.0,47.38,type_07,98.0
sample_15_TID_i11_19_5.bmp,83.4,83.62,wn,89.0,83.19,wn,89.0,53.89,type_19,63.0
sample_16_TID_i14_13_2.bmp,94.13,100.0,wn,74.0,88.26,wn,56.8,49.16,type_13,77.0
sample_16_TID_i22_05_5.bmp,41.04,74.3,wn,98.0,39.54,wn,100.0,42.55,type_05,100.0
sample_17_TID_i07_04_4.bmp,96.4,99.07,wn,50.0,93.73,wn,52.67,72.19,type_04,98.0
